,temperature
0,21.73153846153846
1,24.032888888888888
2,25.8772
3,26.562962962962963
4,26.83590909090909
5,26.940526315789477
6,27.1588
7,27.452333333333332
8,27.52590909090909
9,27.31090909090909
10,27.222692307692306
11,26.826571428571427
12,26.399375
13,26.239714285714285
14,26.0346875
15,25.68705882352941
16,25.408947368421053
17,25.171333333333333
18,24.9825
19,24.777027027027028
20,24.531785714285714
21,24.294375
22,24.097857142857144
23,23.932222222222222
24,23.78555555555556
25,23.995
26,24.321785714285717
27,24.54272727272728
28,24.83695652173913
29,25.712
30,26.036875
31,26.245652173913044
32,26.13826086956521
33,25.71857142857143
34,25.446153846153848
35,25.06952380952381
36,24.967
37,24.22571428571428
38,23.55272727272727
39,23.01764705882353
40,22.73578947368421
41,22.39
42,21.99384615384616
43,21.683125
44,21.39
45,21.160833333333333
46,20.900625
47,20.752142857142854
48,20.63095238095238
49,21.88558823529412
50,23.370476190476197
51,24.1005
52,24.54074074074074
53,24.82130434782609
54,25.005333333333333
55,25.101379310344825
56,25.12448275862069
57,25.1872
58,25.04875
59,24.8568
60,24.43208333333333
61,23.48846153846154
62,22.642424242424244
63,21.90809523809524
64,21.42185185185185
65,21.013823529411766
66,20.607647058823527
67,20.27695652173913
68,19.97047619047619
69,19.781764705882352
70,19.580769230769228
71,19.72085714285714
72,20.916
73,22.8335
74,24.082
75,24.874285714285715
76,25.425
77,25.5268
78,25.6928125
79,25.830689655172414
80,25.702
81,25.666666666666668
82,25.78076923076923
83,25.243076923076924
84,24.19074074074074
85,23.40375
86,22.81114285714286
87,22.322857142857146
88,21.92833333333333
89,21.61823529411765
90,21.336
91,21.084375
92,20.91214285714286
93,20.779333333333334
94,20.642307692307693
95,20.40529411764706
96,20.501739130434785
97,22.32730769230769
98,23.887619047619047
99,25.019
100,25.81714285714285
101,26.2565
102,26.741000000000003
103,27.26391304347826
104,27.52558823529412
105,27.759750000000004
106,27.914814814814815
107,27.59592592592593
108,26.264
109,25.293333333333333
110,24.885
111,24.279666666666667
112,23.983703703703707
113,23.62472222222222
114,23.30548387096774
115,22.9975
116,22.78103448275862
117,22.509473684210526
118,22.213611111111117
119,22.14558823529412
120,22.0134375
121,21.7475
122,21.507241379310347
123,21.291304347826088
124,21.140571428571427
125,21.045405405405404
126,20.962857142857143
127,20.894193548387097
128,20.880344827586207
129,22.707179487179488
130,24.081515151515152
131,23.911612903225805
132,23.1490625
133,22.403214285714284
134,21.87057142857143
135,21.573571428571427
136,21.33566666666667
137,21.15277777777778
138,20.979444444444443
139,20.86277777777778
140,20.692682926829267
141,20.56394736842105
142,20.3721875
143,20.377142857142857
144,20.523333333333333
145,21.279032258064515
146,21.588275862068965
147,21.713666666666665
148,21.63578947368421
149,21.274285714285718
150,21.192222222222224
151,21.186818181818182
152,20.982592592592592
153,20.76625
154,20.568
155,20.42833333333333
156,20.45388888888889
157,20.52823529411765
158,20.56
159,20.563888888888886
160,20.530645161290323
161,20.396451612903224
162,20.34555555555556
163,20.29142857142857
164,20.252962962962965
165,20.204
166,20.2075
167,20.3321875
168,20.68125
169,22.462592592592596
170,24.28954545454545
